item_name,must_try_tag,price,item_description
"Voosh Paneer Premium Thali with Sweet, Butter Milk",MUST TRY,₹209,"Enjoy a wholesome thali meal with paneer masala, dry veggie of the day, dal tadka, 2 phulkas, rice, sweet, butter milk. Amazing for one."
"2 Gobhi Paratha, Curd & Pickle Meal",MUST TRY,₹134,"2 gobhi parathas, curd, sweet, salad and pickle. Amazing for one."
Aloo Gobhi,MUST TRY,₹126,A dry north Indian sabzi with aloo gobhi tossed in basic Indian spices with a splash of fresh aromatic coriander. Serves 1 with full satisfaction.
Homely Bhindi Masala Thali with Sweet,MUST TRY,₹144,"Enjoy a delicious meal with bhindi masala, dal tadka, 2 phulkas, rice and sweet. Amazing for one."
Homely Paneer Masala Thali with Sweet,MUST TRY,₹144,"Enjoy a delicious meal with paneer masala, dal tadka, 2 phulkas, rice and sweet. Amazing for one."
"2 Paneer Paratha, Curd & Pickle Meal",MUST TRY,₹144,"2 paneer parathas, curd, sweet, salad and pickle. Amazing for one."
Set of Chapatis (4 - Chapatis),MUST TRY,₹79,"Wheat chapattis - soft, fluffy and cooked to perfection."
Voosh Variety Thali with a Sweet & Butter Milk,MUST TRY,₹199,"Treat yourself with delicious bhindi Masala, aloo gobhi, dal tadka, 2 phulka, rice ,sweet, butter milk. Amazing for one."
Homely Dal Tadka Thali with Sweet,MUST TRY,₹144,"Enjoy a delicious meal with dal tadka, dry veggie of the day, 2 phulkas, rice, raita and sweet. Amazing for one."
Homely Aloo Gobhi Thali with Sweet,MUST TRY,₹144,"Enjoy a delicious meal with aloo gobhi, dal tadka, 2 phulkas, rice, sweet. Amazing for one."
"Voosh Paneer Premium Thali with Sweet, Butter Milk",nil,₹209,"Enjoy a wholesome thali meal with paneer masala, dry veggie of the day, dal tadka, 2 phulkas, rice, sweet, butter milk. Amazing for one."
Voosh Paratha Platter with Butter Milk,nil,₹219,"Enjoy a delicious meal of paneer paratha(1 piece), aloo paratha(1 piece), paneer masala, sweet, butter milk, salad or pickle. Amazing for one."
Homely Bhindi Masala Thali with Sweet,nil,₹144,"Enjoy a delicious meal with bhindi masala, dal tadka, 2 phulkas, rice and sweet. Amazing for one."
Homely Dal Tadka Thali with Sweet,nil,₹144,"Enjoy a delicious meal with dal tadka, dry veggie of the day, 2 phulkas, rice, raita and sweet. Amazing for one."
Homely Aloo Gobhi Thali with Sweet,nil,₹144,"Enjoy a delicious meal with aloo gobhi, dal tadka, 2 phulkas, rice, sweet. Amazing for one."
Homely Paneer Masala Thali with Sweet,nil,₹144,"Enjoy a delicious meal with paneer masala, dal tadka, 2 phulkas, rice and sweet. Amazing for one."
Voosh Variety Thali with a Sweet & Butter Milk,nil,₹199,"Treat yourself with delicious bhindi Masala, aloo gobhi, dal tadka, 2 phulka, rice ,sweet, butter milk. Amazing for one."
"Voosh Paneer Premium Thali with Sweet, Butter Milk",nil,₹209,"Enjoy a wholesome thali meal with paneer masala, dry veggie of the day, dal tadka, 2 phulkas, rice, sweet, butter milk. Amazing for one."
"2 Gobhi Paratha, Curd & Pickle Meal",nil,₹134,"2 gobhi parathas, curd, sweet, salad and pickle. Amazing for one."
"2 Paneer Paratha, Curd & Pickle Meal",nil,₹144,"2 paneer parathas, curd, sweet, salad and pickle. Amazing for one."
Voosh Paratha Platter with Butter Milk,nil,₹219,"Enjoy a delicious meal of paneer paratha(1 piece), aloo paratha(1 piece), paneer masala, sweet, butter milk, salad or pickle. Amazing for one."
Homely Bhindi Masala Thalis with Sweet,nil,₹144,"Enjoy a delicious meal with bhindi masala, dal tadka, 2 phulkas, rice and sweet. Amazing for one."
Dal Tadka Rice Bowl with Butter Milk,nil,₹134,Yummy bowl of dal tadka with steamy hot rice and a refreshing bottle of buttermilk. Amazing for one.
Paneer Rice Bowl with a Butter Milk,nil,₹219,Yummy bowl of paneer masala with steamy hot rice and a refreshing bottle of buttermilk. Amazing for one.
Voosh Family Meal For 2 with 2 Buttermilk,nil,₹309,"Paneer masala(250 ml), dry veggie(250 ml), dal tadka(250 ml), 4 phulkas, rice, 2 sweet of the day and 2 butter milk. Amazing for two."
Bhindi Masala,nil,₹116,A semi dry sabzi with bhindi cooked in a traditional onion tomato gravy. Serves 1 with full satisfaction.
Aloo Gobhi,nil,₹126,A dry north Indian sabzi with aloo gobhi tossed in basic Indian spices with a splash of fresh aromatic coriander. Serves 1 with full satisfaction.
Paneer Massala,nil,₹132,Fresh paneer tossed in vooshified onion tomato gravy with rich Indian spices and coriander leaves. Serves 1 with full satisfaction!
Set of Chapatis (4 - Chapatis),nil,₹79,"Wheat chapattis - soft, fluffy and cooked to perfection."
Steamed Rice,nil,₹69,"Fresh, aromatic and steamy hot."
Raita,nil,₹59,Freshly made with crispy cucumber garnishing.
Salad,nil,₹59,"Fresh carrot, cucumber, tomato and aromatic coriander garnishing."
Sweet of the Day (1 Piece),nil,₹69,Fun fact-The idea of having a dessert at the end of a meal goes back to the Romans.
Butter Milk(300 ml),nil,₹69,Refreshing butter milk prepared out of quality curd and Indian spices added to enhance the taste.
